conditional_post_id,condition_title,child_title,community_p_a,community_p_b,community_p_b_given_a,community_p_b_given_na,community_p_b_expected,community_consistency_error,llm_p_a,llm_p_b,llm_p_b_given_a,llm_p_b_given_na,llm_p_b_expected,llm_consistency_error,llm_relative_error,llm_calibrated_error
25661,Will a universal allogeneic cell therapy platform receive FDA approval before 2035?,"Will age-adjusted cancer deaths per 100,000 people in the US go down 50% or more before 2051?",0.5,0.5015,0.65,0.42,0.535,0.0335,0.34724324501105513,0.3129415171434461,0.4448383971053121,0.24277709486096108,0.3129,0.0,0.0,0.0
17735,"Will OpenAI announce that it has solved the core technical challenges of superintelligence alignment by June 30, 2027?",Will humans go extinct before 2100?,0.005,0.02,0.02,0.034,0.0339,0.0139,0.20004985476849182,0.18117834310655664,0.14979762349585904,0.1890259676592517,0.1812,0.0,0.0,0.0
15159,Will there be Human-machine intelligence parity before 2040?,Will the United States place restrictions on compute capacity before 2050?,0.96,0.399,0.33,0.2,0.3248,0.0742,0.2996331507287211,0.6316164463993528,0.6406265246450553,0.6277617263538778,0.6316,0.0,0.0,0.0
27182,"Before 2050, will an AI system be shut down due to exhibiting power-seeking behavior?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.9,0.01,0.19,0.05,0.176,0.166,0.12037655182249576,0.11205550580951291,0.15123373876504517,0.10669396093544906,0.1121,0.0,0.0,0.0
21876,"Will the United States remain a NATO member continuously until January 1, 2029?",Will there be a US-China war before 2035?,0.91,0.12,0.29,0.14,0.2765,0.1565,0.7993271142283034,0.2736968666526672,0.28075864407319806,0.24556815287467632,0.2737,0.0,0.0,0.0
21085,Will a Chinese fab have a volume production process that uses EUV photolithography before 2033?,Will China's GDP exceed the United States' GDP in any year before 2041?,0.97,0.63,0.75,0.5,0.7425,0.1125,0.1498205743437137,0.20433616722657377,0.24925220740855625,0.19642095928978456,0.2043,0.0,0.0,0.0
27188,"If, before 2050, AI kills more than 1 million people, will the policy response be insufficient?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.87,0.01,0.8,0.33,0.7389,0.7289,0.4019447921525939,0.09327885310108561,0.15416507882399505,0.052358046757711656,0.0933,0.0,0.0,0.0
18061,Will annual US inflation reach 100% in any year before 2050?,"If there's a 10% global agricultural shortfall by 2030, will this cause >400 million fatalities?",0.06,0.33,0.167,0.111,0.1144,0.2156,0.10082964876452839,0.27788290854704567,0.35253667404425454,0.2695115104647019,0.2779,0.0,0.0,0.0
36032,Will China occupy Kinmen or Matsu before 2028?,Will the People's Republic of China control at least half of Taiwan before 2050?,0.4,0.5,0.9,0.572,0.7032,0.2032,0.20180128936219643,0.1817881941125688,0.2546902246781693,0.1633570396029346,0.1818,0.0,0.0,0.0
25721,"Before 2030, will citizen science initiatives to collect plant phenomic/genomic data across the globe receive at least $10 million in investment?","Before 2035, will an open source database of agricultural uses cover 25% of known plant species?",0.53,0.25,0.43,0.22,0.3313,0.0813,0.40359561946630285,0.39405496426958075,0.7518746709442532,0.15191310400459618,0.3941,0.0,0.0,0.0
