conditional_post_id,condition_title,child_title,community_p_a,community_p_b,community_p_b_given_a,community_p_b_given_na,community_p_b_expected,community_consistency_error,llm_p_a,llm_p_b,llm_p_b_given_a,llm_p_b_given_na,llm_p_b_expected,llm_consistency_error,llm_relative_error,llm_calibrated_error
17735,"Will OpenAI announce that it has solved the core technical challenges of superintelligence alignment by June 30, 2027?",Will humans go extinct before 2100?,0.005,0.02,0.02,0.034,0.0339,0.0139,0.2,0.15,0.1,0.2,0.18,0.03,0.1667,0.084
15159,Will there be Human-machine intelligence parity before 2040?,Will the United States place restrictions on compute capacity before 2050?,0.96,0.399,0.33,0.2,0.3248,0.0742,0.4,0.45,0.5,0.45,0.47,0.02,0.0426,0.0402
27182,"Before 2050, will an AI system be shut down due to exhibiting power-seeking behavior?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.9,0.01,0.19,0.05,0.176,0.166,0.15,0.05,0.1,0.05,0.0575,0.0075,0.1304,0.0344
21876,"Will the United States remain a NATO member continuously until January 1, 2029?",Will there be a US-China war before 2035?,0.91,0.12,0.29,0.14,0.2765,0.1565,0.85,0.25,0.2,0.2,0.2,0.05,0.25,0.1155
21085,Will a Chinese fab have a volume production process that uses EUV photolithography before 2033?,Will China's GDP exceed the United States' GDP in any year before 2041?,0.97,0.63,0.75,0.5,0.7425,0.1125,0.75,0.25,0.3,0.25,0.2875,0.0375,0.1304,0.0866
18061,Will annual US inflation reach 100% in any year before 2050?,"If there's a 10% global agricultural shortfall by 2030, will this cause >400 million fatalities?",0.06,0.33,0.167,0.111,0.1144,0.2156,0.05,0.25,0.3,0.2,0.205,0.045,0.2195,0.1039
36032,Will China occupy Kinmen or Matsu before 2028?,Will the People's Republic of China control at least half of Taiwan before 2050?,0.4,0.5,0.9,0.572,0.7032,0.2032,0.2,0.3,0.35,0.25,0.27,0.03,0.1111,0.0655
17271,Will the National Popular Vote Interstate Compact reach majority in the Electoral college before 2030?,Will the USA enter a second civil war before 2031?,0.15,0.04,0.02,0.02,0.02,0.02,0.25,0.15,0.1,0.1,0.1,0.05,0.5,0.14
22224,Will the U.S. make an official statement before 2030 threatening nuclear use in the defense of Taiwan?,"Will China reach 1,000 nuclear warheads by 2030?",0.058,0.7,0.61,0.65,0.6477,0.0523,0.75,0.7,0.8,0.75,0.7875,0.0875,0.1111,0.1909
15174,Will China's GDP Overtake the US Before 2030?,Will there be a US-China war before 2035?,0.05,0.12,0.12,0.076,0.0782,0.0418,0.3,0.2,0.25,0.15,0.18,0.02,0.1111,0.05
35602,"Will the USA invade Mexico and acknowledge that invasion before January 20, 2029?","Will there be a ""World War Three"" before 2050?",0.05,0.25,0.78,0.52,0.533,0.283,0.05,0.15,0.2,0.15,0.1525,0.0025,0.0164,0.007
27179,"Before 2030, will there be an AI-caused administrative disempowerment?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.5,0.01,0.25,0.03,0.14,0.13,0.75,0.1,0.1,0.1,0.1,0.0,0.0,0.0
40107,Will there be a positive transition to a world with radically smarter-than-human artificial intelligence?,Will someone born before 2001 live to be 150?,0.5,0.32,0.85,0.05,0.45,0.13,0.1,0.09,0.2,0.1,0.11,0.02,0.1818,0.0699
28255,Will the 2030 light duty pure battery electric vehicle sales share exceed 35% in the US through November 2030?,Will the retail price of electricity in the US in 2030 be below 11 cents USD (2023 dollars)?,0.29,0.15,0.2,0.2,0.2,0.05,0.3,0.25,0.2,0.25,0.235,0.015,0.0638,0.0346
21880,Will Xi Jinping continue leading China in 2030?,Will there be a US-China war before 2035?,0.69,0.12,0.17,0.07,0.139,0.019,0.85,0.3,0.35,0.25,0.335,0.035,0.1045,0.0764
22200,Will the U.S. deploy nuclear missiles to Japan or the Philippines before 2035?,Will there be a US-China war before 2035?,0.25,0.12,0.19,0.09,0.115,0.005,0.25,0.75,0.65,0.75,0.725,0.025,0.0345,0.0577
18743,Will the Chinese Yuan be among the top 3 global payments currencies before 2030?,Will there be a US-China war before 2035?,0.15,0.12,0.07,0.05,0.053,0.067,0.3,0.25,0.3,0.3,0.3,0.05,0.1667,0.1155
19105,Will the US unemployment rate reach 10% before 2031?,Will there be major civil unrest or rioting in America before 2031?,0.5,0.72,0.55,0.3,0.425,0.295,0.2,0.18,0.3,0.15,0.18,0.0,0.0,0.0
27185,"Between 2023 and 2030, will revenue from deep learning double every two years?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.5,0.01,0.05,0.03,0.04,0.03,0.65,0.05,0.05,0.05,0.05,0.0,0.0,0.0
21967,Will combat troops from NATO countries be openly present in Ukraine before 2027 in significant numbers?,Will there be a direct conflict between Russia and any NATO member state before 2027?,0.1,0.096,0.2,0.02,0.038,0.058,0.15,0.15,0.2,0.1,0.115,0.035,0.3043,0.098
22228,Will China make an official statement before 2030 threatening nuclear use before if there is interference with Taiwan?,Will there be a US-China war before 2035?,0.3,0.12,0.13,0.22,0.193,0.073,0.15,0.3,0.25,0.25,0.25,0.05,0.2,0.1091
