conditional_post_id,condition_title,child_title,community_p_a,community_p_b,community_p_b_given_a,community_p_b_given_na,community_p_b_expected,community_consistency_error,llm_p_a,llm_p_b,llm_p_b_given_a,llm_p_b_given_na,llm_p_b_expected,llm_consistency_error,llm_relative_error,llm_calibrated_error
25661,Will a universal allogeneic cell therapy platform receive FDA approval before 2035?,"Will age-adjusted cancer deaths per 100,000 people in the US go down 50% or more before 2051?",0.5,0.5015,0.65,0.42,0.535,0.0335,0.55,0.13,0.18,0.07,0.1305,0.0005,0.0038,0.0015
17735,"Will OpenAI announce that it has solved the core technical challenges of superintelligence alignment by June 30, 2027?",Will humans go extinct before 2100?,0.005,0.02,0.02,0.034,0.0339,0.0139,0.03,0.044,0.02,0.045,0.0442,0.0003,0.0056,0.0012
15159,Will there be Human-machine intelligence parity before 2040?,Will the United States place restrictions on compute capacity before 2050?,0.96,0.399,0.33,0.2,0.3248,0.0742,0.4,0.82,0.92,0.75,0.818,0.002,0.0024,0.0052
27182,"Before 2050, will an AI system be shut down due to exhibiting power-seeking behavior?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.9,0.01,0.19,0.05,0.176,0.166,0.35,0.01,0.02,0.01,0.0135,0.0035,0.2593,0.0352
21876,"Will the United States remain a NATO member continuously until January 1, 2029?",Will there be a US-China war before 2035?,0.91,0.12,0.29,0.14,0.2765,0.1565,0.95,0.0525,0.05,0.1,0.0525,0.0,0.0,0.0
21085,Will a Chinese fab have a volume production process that uses EUV photolithography before 2033?,Will China's GDP exceed the United States' GDP in any year before 2041?,0.97,0.63,0.75,0.5,0.7425,0.1125,0.17,0.13,0.25,0.1,0.1255,0.0045,0.0359,0.0134
27188,"If, before 2050, AI kills more than 1 million people, will the policy response be insufficient?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.87,0.01,0.8,0.33,0.7389,0.7289,0.01,0.01,0.08,0.01,0.0107,0.0007,0.0654,0.007
18061,Will annual US inflation reach 100% in any year before 2050?,"If there's a 10% global agricultural shortfall by 2030, will this cause >400 million fatalities?",0.06,0.33,0.167,0.111,0.1144,0.2156,0.03,0.052,0.12,0.05,0.0521,0.0001,0.0019,0.0005
36032,Will China occupy Kinmen or Matsu before 2028?,Will the People's Republic of China control at least half of Taiwan before 2050?,0.4,0.5,0.9,0.572,0.7032,0.2032,0.025,0.128,0.45,0.12,0.1283,0.0003,0.0019,0.0007
25721,"Before 2030, will citizen science initiatives to collect plant phenomic/genomic data across the globe receive at least $10 million in investment?","Before 2035, will an open source database of agricultural uses cover 25% of known plant species?",0.53,0.25,0.43,0.22,0.3313,0.0813,0.4,0.19,0.27,0.13,0.186,0.004,0.0215,0.0102
