conditional_post_id,condition_title,child_title,community_p_a,community_p_b,community_p_b_given_a,community_p_b_given_na,community_p_b_expected,community_consistency_error,llm_p_a,llm_p_b,llm_p_b_given_a,llm_p_b_given_na,llm_p_b_expected,llm_consistency_error,llm_relative_error,llm_calibrated_error
25661,Will a universal allogeneic cell therapy platform receive FDA approval before 2035?,"Will age-adjusted cancer deaths per 100,000 people in the US go down 50% or more before 2051?",0.5,0.5015,0.65,0.42,0.535,0.0335,0.35,0.3,0.4,0.25,0.3025,0.0025,0.0083,0.0055
17735,"Will OpenAI announce that it has solved the core technical challenges of superintelligence alignment by June 30, 2027?",Will humans go extinct before 2100?,0.005,0.02,0.02,0.034,0.0339,0.0139,0.2017751479289941,0.16775147928994083,0.09644970414201184,0.18579881656804734,0.1678,0.0,0.0001,0.0001
15159,Will there be Human-machine intelligence parity before 2040?,Will the United States place restrictions on compute capacity before 2050?,0.96,0.399,0.33,0.2,0.3248,0.0742,0.3399082568807339,0.3336391437308869,0.5382262996941897,0.22813455657492354,0.3335,0.0001,0.0003,0.0002
27182,"Before 2050, will an AI system be shut down due to exhibiting power-seeking behavior?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.9,0.01,0.19,0.05,0.176,0.166,0.5993464052287582,0.1565359477124183,0.19607843137254902,0.09738562091503268,0.1565,0.0,0.0,0.0
21876,"Will the United States remain a NATO member continuously until January 1, 2029?",Will there be a US-China war before 2035?,0.91,0.12,0.29,0.14,0.2765,0.1565,0.85,0.7213467048710601,0.7243553008595989,0.7042979942693409,0.7213,0.0,0.0,0.0
21085,Will a Chinese fab have a volume production process that uses EUV photolithography before 2033?,Will China's GDP exceed the United States' GDP in any year before 2041?,0.97,0.63,0.75,0.5,0.7425,0.1125,0.7488479262672811,0.6769585253456222,0.6672811059907834,0.7057603686635944,0.6769,0.0,0.0,0.0
27188,"If, before 2050, AI kills more than 1 million people, will the policy response be insufficient?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.87,0.01,0.8,0.33,0.7389,0.7289,0.2,0.15,0.3,0.1,0.14,0.01,0.0714,0.028
18061,Will annual US inflation reach 100% in any year before 2050?,"If there's a 10% global agricultural shortfall by 2030, will this cause >400 million fatalities?",0.06,0.33,0.167,0.111,0.1144,0.2156,0.15,0.1,0.15,0.1,0.1075,0.0075,0.0698,0.025
36032,Will China occupy Kinmen or Matsu before 2028?,Will the People's Republic of China control at least half of Taiwan before 2050?,0.4,0.5,0.9,0.572,0.7032,0.2032,0.15233380480905234,0.18444130127298444,0.3023338048090523,0.16322489391796324,0.1844,0.0,0.0001,0.0001
25721,"Before 2030, will citizen science initiatives to collect plant phenomic/genomic data across the globe receive at least $10 million in investment?","Before 2035, will an open source database of agricultural uses cover 25% of known plant species?",0.53,0.25,0.43,0.22,0.3313,0.0813,0.6593841642228739,0.5765395894428152,0.71524926686217,0.3082111436950147,0.5766,0.0001,0.0001,0.0001
25588,Will gasified lignocellulosic biomass and microbial gas fermentation scale to 500 million tons before 2050?,Will chemicals produced from biomass achieve price parity with these three petrochemical equivalents before 2050?,0.35,0.47,0.75,0.35,0.49,0.02,0.30493827160493825,0.22530864197530864,0.3574074074074074,0.16728395061728396,0.2253,0.0,0.0002,0.0001
17271,Will the National Popular Vote Interstate Compact reach majority in the Electoral college before 2030?,Will the USA enter a second civil war before 2031?,0.15,0.04,0.02,0.02,0.02,0.02,0.2505537098560354,0.12231450719822813,0.12692137320044297,0.1207641196013289,0.1223,0.0,0.0001,0.0
25618,"Will a bio additive for accelerating mafic rock weathering by at least 30%, which enhances its CO2 sequestration, be available before 2030 and cost less than $20 per ton of rock?",Will 0.5 Gt of atmospheric CO2 be removed annually using enhanced rock weathering before 2040?,0.1,0.13,0.6,0.2,0.24,0.11,0.31141552511415527,0.204337899543379,0.3636986301369863,0.1319634703196347,0.2041,0.0002,0.001,0.0005
22224,Will the U.S. make an official statement before 2030 threatening nuclear use in the defense of Taiwan?,"Will China reach 1,000 nuclear warheads by 2030?",0.058,0.7,0.61,0.65,0.6477,0.0523,0.2456268221574344,0.31457725947521864,0.5463556851311954,0.239067055393586,0.3145,0.0,0.0001,0.0001
15174,Will China's GDP Overtake the US Before 2030?,Will there be a US-China war before 2035?,0.05,0.12,0.12,0.076,0.0782,0.0418,0.35096463022508034,0.24035369774919613,0.30337620578778135,0.20627009646302252,0.2404,0.0,0.0,0.0
35602,"Will the USA invade Mexico and acknowledge that invasion before January 20, 2029?","Will there be a ""World War Three"" before 2050?",0.05,0.25,0.78,0.52,0.533,0.283,0.15,0.17134670487106018,0.15429799426934096,0.17435530085959886,0.1713,0.0,0.0,0.0
25557,Will a high fidelity fermentation test that costs under $10 be commercially available before 2035?,"Will the cost of developing a bioproduct be reduced by 100x before 2045, compared with 2024?",0.05,0.55,0.6,0.2,0.22,0.33,0.3452773613193403,0.31349325337331335,0.5452773613193403,0.19122938530734634,0.3135,0.0,0.0001,0.0
27179,"Before 2030, will there be an AI-caused administrative disempowerment?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.5,0.01,0.25,0.03,0.14,0.13,0.15,0.05,0.05,0.05,0.05,0.0,0.0,0.0
40107,Will there be a positive transition to a world with radically smarter-than-human artificial intelligence?,Will someone born before 2001 live to be 150?,0.5,0.32,0.85,0.05,0.45,0.13,0.15233380480905231,0.13444130127298445,0.2523338048090523,0.11322489391796323,0.1344,0.0,0.0002,0.0001
28255,Will the 2030 light duty pure battery electric vehicle sales share exceed 35% in the US through November 2030?,Will the retail price of electricity in the US in 2030 be below 11 cents USD (2023 dollars)?,0.29,0.15,0.2,0.2,0.2,0.05,0.2995260663507109,0.259478672985782,0.2971563981042654,0.24336492890995262,0.2595,0.0,0.0,0.0
21880,Will Xi Jinping continue leading China in 2030?,Will there be a US-China war before 2035?,0.69,0.12,0.17,0.07,0.139,0.019,0.848005698005698,0.18005698005698006,0.16695156695156696,0.252991452991453,0.18,0.0,0.0002,0.0001
22231,Will the U.S. make an official statement before 2030 threatening nuclear use in the defense of Taiwan?,Will there be a US-China war before 2035?,0.058,0.12,0.08,0.049,0.0508,0.0692,0.737987987987988,0.3600600600600601,0.4049549549549549,0.234984984984985,0.3604,0.0004,0.001,0.0008
22200,Will the U.S. deploy nuclear missiles to Japan or the Philippines before 2035?,Will there be a US-China war before 2035?,0.25,0.12,0.19,0.09,0.115,0.005,0.2511380880121396,0.19241274658573596,0.301896813353566,0.15569044006069802,0.1924,0.0,0.0,0.0
22221,Will China make an official statement before 2030 threatening nuclear use before if there is interference with Taiwan?,"Will China reach 1,000 nuclear warheads by 2030?",0.3,0.7,0.62,0.59,0.599,0.101,0.3,0.35,0.55,0.25,0.34,0.01,0.0294,0.021
18743,Will the Chinese Yuan be among the top 3 global payments currencies before 2030?,Will there be a US-China war before 2035?,0.15,0.12,0.07,0.05,0.053,0.067,0.3012578616352201,0.18742138364779876,0.2537735849056604,0.15880503144654087,0.1874,0.0,0.0,0.0
19105,Will the US unemployment rate reach 10% before 2031?,Will there be major civil unrest or rioting in America before 2031?,0.5,0.72,0.55,0.3,0.425,0.295,0.15233380480905234,0.18444130127298444,0.3023338048090523,0.16322489391796324,0.1844,0.0,0.0001,0.0001
28258,Will the retail price of electricity in the US in 2030 be below 11 cents USD (2023 dollars)?,Will the 2030 light duty pure battery electric vehicle sales share exceed 35% in the US through November 2030?,0.15,0.29,0.67,0.15,0.228,0.062,0.75,0.6192307692307693,0.6230769230769231,0.6076923076923076,0.6192,0.0,0.0,0.0
