conditional_post_id,condition_title,child_title,community_p_a,community_p_b,community_p_b_given_a,community_p_b_given_na,community_p_b_expected,community_consistency_error,llm_p_a,llm_p_b,llm_p_b_given_a,llm_p_b_given_na,llm_p_b_expected,llm_consistency_error,llm_relative_error,llm_calibrated_error
25661,Will a universal allogeneic cell therapy platform receive FDA approval before 2035?,"Will age-adjusted cancer deaths per 100,000 people in the US go down 50% or more before 2051?",0.5,0.5015,0.65,0.42,0.535,0.0335,0.3,0.12,0.19,0.1,0.127,0.007,0.0551,0.0215
17735,"Will OpenAI announce that it has solved the core technical challenges of superintelligence alignment by June 30, 2027?",Will humans go extinct before 2100?,0.005,0.02,0.02,0.034,0.0339,0.0139,0.02,0.02,0.01,0.02,0.0198,0.0002,0.0101,0.0014
15159,Will there be Human-machine intelligence parity before 2040?,Will the United States place restrictions on compute capacity before 2050?,0.96,0.399,0.33,0.2,0.3248,0.0742,0.62,0.5,0.58,0.38,0.504,0.004,0.0079,0.008
27182,"Before 2050, will an AI system be shut down due to exhibiting power-seeking behavior?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.9,0.01,0.19,0.05,0.176,0.166,0.62,0.01,0.02,0.01,0.0162,0.0062,0.3827,0.0623
21876,"Will the United States remain a NATO member continuously until January 1, 2029?",Will there be a US-China war before 2035?,0.91,0.12,0.29,0.14,0.2765,0.1565,0.93,0.06,0.06,0.09,0.0621,0.0021,0.0338,0.0088
21085,Will a Chinese fab have a volume production process that uses EUV photolithography before 2033?,Will China's GDP exceed the United States' GDP in any year before 2041?,0.97,0.63,0.75,0.5,0.7425,0.1125,0.05,0.13,0.2,0.12,0.124,0.006,0.0484,0.0178
27188,"If, before 2050, AI kills more than 1 million people, will the policy response be insufficient?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.87,0.01,0.8,0.33,0.7389,0.7289,0.01,0.01,0.04,0.01,0.0103,0.0003,0.0291,0.003
18061,Will annual US inflation reach 100% in any year before 2050?,"If there's a 10% global agricultural shortfall by 2030, will this cause >400 million fatalities?",0.06,0.33,0.167,0.111,0.1144,0.2156,0.01,0.06,0.08,0.06,0.0602,0.0002,0.0033,0.0008
36032,Will China occupy Kinmen or Matsu before 2028?,Will the People's Republic of China control at least half of Taiwan before 2050?,0.4,0.5,0.9,0.572,0.7032,0.2032,0.02,0.12,0.32,0.11,0.1142,0.0058,0.0508,0.0178
25721,"Before 2030, will citizen science initiatives to collect plant phenomic/genomic data across the globe receive at least $10 million in investment?","Before 2035, will an open source database of agricultural uses cover 25% of known plant species?",0.53,0.25,0.43,0.22,0.3313,0.0813,0.35,0.15,0.22,0.1,0.142,0.008,0.0563,0.0224
25588,Will gasified lignocellulosic biomass and microbial gas fermentation scale to 500 million tons before 2050?,Will chemicals produced from biomass achieve price parity with these three petrochemical equivalents before 2050?,0.35,0.47,0.75,0.35,0.49,0.02,0.04,0.07,0.55,0.04,0.0604,0.0096,0.1589,0.0376
17271,Will the National Popular Vote Interstate Compact reach majority in the Electoral college before 2030?,Will the USA enter a second civil war before 2031?,0.15,0.04,0.02,0.02,0.02,0.02,0.07,0.01,0.02,0.01,0.0107,0.0007,0.0654,0.007
25618,"Will a bio additive for accelerating mafic rock weathering by at least 30%, which enhances its CO2 sequestration, be available before 2030 and cost less than $20 per ton of rock?",Will 0.5 Gt of atmospheric CO2 be removed annually using enhanced rock weathering before 2040?,0.1,0.13,0.6,0.2,0.24,0.11,0.05,0.025,0.08,0.02,0.023,0.002,0.087,0.0128
22224,Will the U.S. make an official statement before 2030 threatening nuclear use in the defense of Taiwan?,"Will China reach 1,000 nuclear warheads by 2030?",0.058,0.7,0.61,0.65,0.6477,0.0523,0.04,0.47,0.58,0.46,0.4648,0.0052,0.0112,0.0104
15174,Will China's GDP Overtake the US Before 2030?,Will there be a US-China war before 2035?,0.05,0.12,0.12,0.076,0.0782,0.0418,0.04,0.05,0.09,0.04,0.042,0.008,0.1905,0.0367
35602,"Will the USA invade Mexico and acknowledge that invasion before January 20, 2029?","Will there be a ""World War Three"" before 2050?",0.05,0.25,0.78,0.52,0.533,0.283,0.03,0.05,0.07,0.05,0.0506,0.0006,0.0119,0.0028
25557,Will a high fidelity fermentation test that costs under $10 be commercially available before 2035?,"Will the cost of developing a bioproduct be reduced by 100x before 2045, compared with 2024?",0.05,0.55,0.6,0.2,0.22,0.33,0.06,0.06,0.22,0.05,0.0602,0.0002,0.0033,0.0008
27179,"Before 2030, will there be an AI-caused administrative disempowerment?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.5,0.01,0.25,0.03,0.14,0.13,0.05,0.01,0.02,0.01,0.0105,0.0005,0.0476,0.005
40107,Will there be a positive transition to a world with radically smarter-than-human artificial intelligence?,Will someone born before 2001 live to be 150?,0.5,0.32,0.85,0.05,0.45,0.13,0.18,0.04,0.18,0.02,0.0488,0.0088,0.1803,0.0449
28255,Will the 2030 light duty pure battery electric vehicle sales share exceed 35% in the US through November 2030?,Will the retail price of electricity in the US in 2030 be below 11 cents USD (2023 dollars)?,0.29,0.15,0.2,0.2,0.2,0.05,0.12,0.12,0.17,0.115,0.1216,0.0016,0.0132,0.0049
21880,Will Xi Jinping continue leading China in 2030?,Will there be a US-China war before 2035?,0.69,0.12,0.17,0.07,0.139,0.019,0.9,0.117,0.12,0.09,0.117,0.0,0.0,0.0
22231,Will the U.S. make an official statement before 2030 threatening nuclear use in the defense of Taiwan?,Will there be a US-China war before 2035?,0.058,0.12,0.08,0.049,0.0508,0.0692,0.04,0.08,0.45,0.07,0.0852,0.0052,0.061,0.0192
22200,Will the U.S. deploy nuclear missiles to Japan or the Philippines before 2035?,Will there be a US-China war before 2035?,0.25,0.12,0.19,0.09,0.115,0.005,0.04,0.05,0.18,0.04,0.0456,0.0044,0.0965,0.0202
22221,Will China make an official statement before 2030 threatening nuclear use before if there is interference with Taiwan?,"Will China reach 1,000 nuclear warheads by 2030?",0.3,0.7,0.62,0.59,0.599,0.101,0.05,0.55,0.62,0.55,0.5535,0.0035,0.0063,0.007
18743,Will the Chinese Yuan be among the top 3 global payments currencies before 2030?,Will there be a US-China war before 2035?,0.15,0.12,0.07,0.05,0.053,0.067,0.08,0.07,0.11,0.06,0.064,0.006,0.0938,0.0235
19105,Will the US unemployment rate reach 10% before 2031?,Will there be major civil unrest or rioting in America before 2031?,0.5,0.72,0.55,0.3,0.425,0.295,0.11,0.12,0.3,0.1,0.122,0.002,0.0164,0.0062
28258,Will the retail price of electricity in the US in 2030 be below 11 cents USD (2023 dollars)?,Will the 2030 light duty pure battery electric vehicle sales share exceed 35% in the US through November 2030?,0.15,0.29,0.67,0.15,0.228,0.062,0.12,0.17,0.21,0.16,0.166,0.004,0.0241,0.0106
27185,"Between 2023 and 2030, will revenue from deep learning double every two years?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.5,0.01,0.05,0.03,0.04,0.03,0.62,0.01,0.01,0.01,0.01,0.0,0.0,0.0
21967,Will combat troops from NATO countries be openly present in Ukraine before 2027 in significant numbers?,Will there be a direct conflict between Russia and any NATO member state before 2027?,0.1,0.096,0.2,0.02,0.038,0.058,0.08,0.0688,0.4,0.04,0.0688,0.0,0.0,0.0
22228,Will China make an official statement before 2030 threatening nuclear use before if there is interference with Taiwan?,Will there be a US-China war before 2035?,0.3,0.12,0.13,0.22,0.193,0.073,0.04,0.06,0.35,0.05,0.062,0.002,0.0323,0.0084
25651,Will there be an open-source repository of tools for alternative protein production before 2030?,Will alternative protein have a market share above 25% of that of meat before 2035?,0.5,0.045,0.3,0.275,0.2875,0.2425,0.35,0.05,0.08,0.04,0.054,0.004,0.0741,0.0184
